temp,atemp,humidity,windspeed,hour,holiday,workingday,count
9.84,14.395,81,0.0,0,0,0,16
9.02,13.635,80,0.0,1,0,0,40
9.02,13.635,80,0.0,2,0,0,32
9.84,14.395,75,0.0,3,0,0,13
9.84,14.395,75,0.0,4,0,0,1
9.84,12.88,75,6.0032,5,0,0,1
9.02,13.635,80,0.0,6,0,0,2
8.2,12.88,86,0.0,7,0,0,3
9.84,14.395,75,0.0,8,0,0,8
13.12,17.425,76,0.0,9,0,0,14
15.58,19.695,76,16.9979,10,0,0,36
14.76,16.665,81,19.0012,11,0,0,56
17.22,21.21,77,19.0012,12,0,0,84
18.86,22.725,72,19.9995,13,0,0,94
18.86,22.725,72,19.0012,14,0,0,106
18.04,21.97,77,19.9995,15,0,0,110
17.22,21.21,82,19.9995,16,0,0,93
18.04,21.97,82,19.0012,17,0,0,67
17.22,21.21,88,16.9979,18,0,0,35
17.22,21.21,88,16.9979,19,0,0,37
16.4,20.455,87,16.9979,20,0,0,36
16.4,20.455,87,12.998,21,0,0,34
16.4,20.455,94,15.0013,22,0,0,28
18.86,22.725,88,19.9995,23,0,0,39
18.86,22.725,88,19.9995,0,0,0,17
18.04,21.97,94,16.9979,1,0,0,17
17.22,21.21,100,19.0012,2,0,0,9
18.86,22.725,94,12.998,3,0,0,6
18.86,22.725,94,12.998,4,0,0,3
17.22,21.21,77,19.9995,6,0,0,2
16.4,20.455,76,12.998,7,0,0,1
16.4,20.455,71,15.0013,8,0,0,8
15.58,19.695,76,15.0013,9,0,0,20
14.76,17.425,81,15.0013,10,0,0,53
14.76,16.665,71,16.9979,11,0,0,70
14.76,16.665,66,19.9995,12,0,0,93
14.76,17.425,66,8.9981,13,0,0,75
14.76,17.425,76,12.998,14,0,0,59
13.94,16.665,81,11.0014,15,0,0,74
13.94,16.665,71,11.0014,16,0,0,76
13.94,16.665,57,12.998,17,0,0,65
14.76,16.665,46,22.0028,18,0,0,53
13.12,14.395,42,30.0026,19,0,0,30
12.3,13.635,39,23.9994,20,0,0,22
10.66,11.365,44,22.0028,21,0,0,31
9.84,10.605,44,19.9995,22,0,0,9
9.02,11.365,47,11.0014,23,0,0,8
9.02,9.85,44,23.9994,0,0,1,5
8.2,8.335,44,27.9993,1,0,1,2
6.56,6.82,47,26.0027,4,0,1,1
6.56,6.82,47,19.0012,5,0,1,3
5.74,5.305,50,26.0027,6,0,1,30
5.74,6.82,50,12.998,7,0,1,64
5.74,6.06,50,19.0012,8,0,1,154
6.56,6.82,43,26.0027,9,0,1,88
7.38,8.335,43,16.9979,10,0,1,44
8.2,9.09,40,22.0028,11,0,1,51
9.02,10.605,35,19.9995,12,0,1,61
9.84,10.605,35,19.0012,13,0,1,61
10.66,12.12,30,19.0012,14,0,1,77
10.66,12.12,30,16.9979,15,0,1,72
10.66,12.12,30,16.9979,16,0,1,76
9.84,11.365,30,15.0013,17,0,1,157
9.84,12.88,32,7.0015,18,0,1,157
8.2,12.88,47,0.0,19,0,1,110
8.2,11.365,47,7.0015,20,0,1,52
7.38,9.85,64,8.9981,21,0,1,52
5.74,7.575,69,8.9981,22,0,1,20
7.38,10.605,55,7.0015,23,0,1,12
6.56,9.09,55,7.0015,0,0,1,5
6.56,9.09,59,7.0015,1,0,1,2
5.74,7.575,63,8.9981,2,0,1,1
5.74,9.09,63,6.0032,4,0,1,2
4.92,7.575,68,7.0015,5,0,1,4
4.92,7.575,74,7.0015,6,0,1,36
4.92,7.575,74,8.9981,7,0,1,94
5.74,7.575,69,11.0014,8,0,1,179
6.56,7.575,64,15.0013,9,0,1,100
6.56,6.82,69,22.0028,10,0,1,42
9.02,10.605,51,19.9995,11,0,1,57
9.02,11.365,51,11.0014,12,0,1,78
9.84,11.365,56,12.998,13,0,1,97
10.66,12.88,52,15.0013,14,0,1,63
11.48,13.635,52,16.9979,15,0,1,65
12.3,14.395,49,16.9979,16,0,1,83
11.48,13.635,48,15.0013,17,0,1,212
10.66,12.88,48,12.998,18,0,1,182
9.84,12.88,48,7.0015,19,0,1,112
9.84,12.88,48,7.0015,20,0,1,54
9.02,13.635,64,0.0,21,0,1,48
9.02,12.88,64,6.0032,22,0,1,35
8.2,11.365,69,6.0032,23,0,1,11
8.2,12.88,64,0.0,0,0,1,6
6.56,9.85,74,6.0032,1,0,1,6
6.56,9.85,74,6.0032,2,0,1,2
9.84,11.365,48,15.0013,4,0,1,2
9.02,11.365,47,11.0014,5,0,1,3
8.2,9.85,47,15.0013,6,0,1,33
7.38,9.09,43,12.998,7,0,1,88
8.2,9.09,40,19.9995,8,0,1,195
9.02,9.85,37,22.0028,9,0,1,115
9.02,9.85,37,22.0028,10,0,1,57
10.66,11.365,33,22.0028,11,0,1,46
10.66,11.365,33,22.0028,12,0,1,79
11.48,12.88,30,19.9995,13,0,1,71
12.3,14.395,28,12.998,14,0,1,62
12.3,14.395,28,12.998,15,0,1,62
12.3,15.91,28,6.0032,16,0,1,89
9.84,11.365,38,12.998,17,0,1,190
9.84,12.12,38,8.9981,18,0,1,169
9.84,12.88,38,7.0015,19,0,1,132
9.02,11.365,47,11.0014,20,0,1,89
8.2,9.85,51,12.998,21,0,1,43
7.38,9.85,55,8.9981,22,0,1,42
8.2,12.88,47,0.0,23,0,1,19
7.38,12.12,55,0.0,0,0,1,11
6.56,11.365,64,0.0,1,0,1,4
6.56,11.365,64,0.0,2,0,1,2
6.56,9.85,64,6.0032,4,0,1,1
5.74,9.09,69,6.0032,5,0,1,4
5.74,8.335,63,7.0015,6,0,1,36
6.56,11.365,59,0.0,7,0,1,95
6.56,11.365,59,0.0,8,0,1,219
7.38,12.12,51,0.0,9,0,1,122
8.2,12.88,47,0.0,10,0,1,45
9.02,12.88,44,6.0032,11,0,1,59
10.66,14.395,35,0.0,12,0,1,84
10.66,13.635,35,7.0015,13,0,1,67
11.48,13.635,36,11.0014,14,0,1,70
11.48,13.635,36,0.0,15,0,1,62
10.66,12.88,38,11.0014,16,0,1,86
9.02,11.365,51,11.0014,17,0,1,172
9.02,11.365,51,8.9981,18,0,1,163
9.02,12.88,55,6.0032,19,0,1,112
8.2,10.605,51,11.0014,20,0,1,69
9.02,10.605,55,15.0013,21,0,1,48
9.02,10.605,51,19.0012,22,0,1,52
8.2,9.85,59,12.998,23,0,1,23
8.2,9.85,64,12.998,0,0,1,17
8.2,9.85,69,15.0013,1,0,1,7
8.2,9.85,69,15.0013,2,0,1,1
8.2,10.605,69,8.9981,4,0,1,1
9.02,13.635,55,0.0,5,0,1,5
